File Date,Reporting Period,Form,Amendment,Holdings,Reported Value ($1000),href
2023-02-14,2022-12-31,13F-HR,,49,299007622,/i13f/berkshire-hathaway/2022-12-31-0
2022-11-14,2022-09-30,13F-HR,,49,296096640,/i13f/berkshire-hathaway/2022-09-30-0
2022-08-15,2022-06-30,13F-HR,,47,300130772,/i13f/berkshire-hathaway/2022-06-30-0
2022-05-16,2022-03-31,13F-HR,,49,363553518,/i13f/berkshire-hathaway/2022-03-31-0
2022-02-14,2021-12-31,13F-HR,,44,330952724,/i13f/berkshire-hathaway/2021-12-31-0
2021-11-15,2021-09-30,13F-HR,,43,293447417,/i13f/berkshire-hathaway/2021-09-30-0
2021-08-16,2021-06-30,13F-HR,,44,293023412,/i13f/berkshire-hathaway/2021-06-30-0
2021-05-17,2021-03-31,13F-HR,,46,270435200,/i13f/berkshire-hathaway/2021-03-31-0
2021-02-16,2020-12-31,13F-HR,,47,269927528,/i13f/berkshire-hathaway/2020-12-31-0
2021-02-16,2020-09-30,13F-HR/A,1 N,3,7044886,/i13f/berkshire-hathaway/2020-09-30-1
2020-11-16,2020-09-30,13F-HR,,49,228890673,/i13f/berkshire-hathaway/2020-09-30-0
2020-08-14,2020-06-30,13F-HR,,44,202411166,/i13f/berkshire-hathaway/2020-06-30-0
2020-05-15,2020-03-31,13F-HR,,50,175526846,/i13f/berkshire-hathaway/2020-03-31-0
2020-02-14,2019-12-31,13F-HR,,52,242050717,/i13f/berkshire-hathaway/2019-12-31-0
2019-11-14,2019-09-30,13F-HR,,48,214673311,/i13f/berkshire-hathaway/2019-09-30-0
2019-08-14,2019-06-30,13F-HR,,47,208101077,/i13f/berkshire-hathaway/2019-06-30-0
2019-05-15,2019-03-31,13F-HR,,48,199483708,/i13f/berkshire-hathaway/2019-03-31-0
2019-02-14,2018-12-31,13F-HR,,48,183066067,/i13f/berkshire-hathaway/2018-12-31-0
2018-11-14,2018-09-30,13F-HR,,46,221020177,/i13f/berkshire-hathaway/2018-09-30-0
2018-08-14,2018-06-30,13F-HR,,44,195615793,/i13f/berkshire-hathaway/2018-06-30-0
2018-05-15,2018-03-31,13F-HR,,46,188943876,/i13f/berkshire-hathaway/2018-03-31-0
2018-02-14,2017-12-31,13F-HR,,48,191242697,/i13f/berkshire-hathaway/2017-12-31-0
2017-11-14,2017-09-30,13F-HR,,47,177678767,/i13f/berkshire-hathaway/2017-09-30-0
2017-08-14,2017-06-30,13F-HR,,47,162143689,/i13f/berkshire-hathaway/2017-06-30-0
2017-05-15,2017-03-31,13F-HR,,46,161873831,/i13f/berkshire-hathaway/2017-03-31-0
2017-02-14,2016-12-31,13F-HR,,47,147985198,/i13f/berkshire-hathaway/2016-12-31-0
2016-11-14,2016-09-30,13F-HR,,50,128787110,/i13f/berkshire-hathaway/2016-09-30-0
2016-08-15,2016-06-30,13F-HR,,49,129704731,/i13f/berkshire-hathaway/2016-06-30-0
2016-05-16,2016-03-31,13F-HR,,47,128569639,/i13f/berkshire-hathaway/2016-03-31-0
2016-02-16,2015-12-31,13F-HR,,48,131855536,/i13f/berkshire-hathaway/2015-12-31-0
2015-11-16,2015-09-30,13F-HR,,48,127407562,/i13f/berkshire-hathaway/2015-09-30-0
2015-09-04,2015-06-30,13F-HR/A,1 N,1,2392467,/i13f/berkshire-hathaway/2015-06-30-1
2015-08-14,2015-06-30,13F-HR,,46,107182425,/i13f/berkshire-hathaway/2015-06-30-0
2015-05-15,2015-03-31,13F-HR,,47,107133479,/i13f/berkshire-hathaway/2015-03-31-0
2015-02-17,2014-12-31,13F-HR,,47,109365274,/i13f/berkshire-hathaway/2014-12-31-0
2015-02-17,2014-09-30,13F-HR/A,1 N,1,620451,/i13f/berkshire-hathaway/2014-09-30-1
2014-11-14,2014-09-30,13F-HR,,47,107785377,/i13f/berkshire-hathaway/2014-09-30-0
2014-08-14,2014-06-30,13F-HR,,46,107580386,/i13f/berkshire-hathaway/2014-06-30-0
2014-05-15,2014-03-31,13F-HR,,45,105772705,/i13f/berkshire-hathaway/2014-03-31-0
2014-02-14,2013-12-31,13F-HR,,43,104836593,/i13f/berkshire-hathaway/2013-12-31-0
2013-11-14,2013-09-30,13F-HR,,43,92035233,/i13f/berkshire-hathaway/2013-09-30-0
2013-11-14,2013-06-30,13F-HR/A,1 N,1,2822906,/i13f/berkshire-hathaway/2013-06-30-1
2013-08-15,2013-06-30,13F-HR,,42,89031205,/i13f/berkshire-hathaway/2013-06-30-0
