Date,^HSI
2017-09-04,27740.259765625
2017-09-05,27741.349609375
2017-09-06,27613.759765625
2017-09-07,27522.919921875
2017-09-08,27668.470703125
2017-09-11,27955.130859375
2017-09-12,27972.240234375
2017-09-13,27894.080078125
2017-09-14,27777.19921875
2017-09-15,27807.58984375
2017-09-18,28159.76953125
2017-09-19,28051.41015625
2017-09-20,28127.80078125
2017-09-21,28110.330078125
2017-09-22,27880.529296875
2017-09-25,27500.33984375
2017-09-26,27513.009765625
2017-09-27,27642.4296875
2017-09-28,27421.599609375
2017-09-29,27554.30078125
2017-10-03,28173.2109375
2017-10-04,28379.1796875
2017-10-06,28458.0390625
2017-10-09,28326.58984375
2017-10-10,28490.830078125
2017-10-11,28389.5703125
2017-10-12,28459.029296875
2017-10-13,28476.4296875
2017-10-16,28692.80078125
2017-10-17,28697.490234375
2017-10-18,28711.759765625
2017-10-19,28159.08984375
2017-10-20,28487.240234375
2017-10-23,28305.880859375
2017-10-24,28154.970703125
2017-10-25,28302.890625
2017-10-26,28202.380859375
2017-10-27,28438.849609375
2017-10-30,28336.189453125
2017-10-31,28245.5390625
2017-11-01,28594.060546875
2017-11-02,28518.640625
2017-11-03,28603.609375
2017-11-06,28596.80078125
2017-11-07,28994.33984375
2017-11-08,28907.599609375
2017-11-09,29136.5703125
2017-11-10,29120.919921875
2017-11-13,29182.1796875
2017-11-14,29152.119140625
2017-11-15,28851.689453125
2017-11-16,29018.759765625
2017-11-17,29199.0390625
2017-11-20,29260.310546875
2017-11-21,29818.0703125
